Ticker,IsCurncyFixing,CurncyFixingQuoteFormat,date,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME,TURNOVER,CUR_MKT_CAP,SHORT_INT,EQY_SH_OUT,EQY_FLOAT,EQY_WEIGHTED_AVG_PX,AVERAGE_BID_ASK_SPREAD_%,BEST_EPS,PE_RATIO,BEST_SALES,SALES_REV_TURN,BEST_PE_RATIO,BEST_EBITDA,EQY_DVD_YLD_IND,BEST_TARGET_PRICE,NET_INCOME,BOOK_VAL_PER_SH
8388 HK Equity,False,,2017-04-16,,,,,,,,,,,,,,,,,,,,,,
8388 HK Equity,False,,2017-04-17,,,,,,,,,,,,,,,,,,,,,,
8388 HK Equity,False,,2017-04-18,,,,,,,,,,,,,,,,,,,,,,
8388 HK Equity,False,,2017-04-19,,,,,,,,,,,,,,,,,,,,,,
8388 HK Equity,False,,2017-04-20,,,,,,,,,,,,,,,,,,,,,,
8388 HK Equity,False,,2017-04-21,,,,,,,,,,,,,,,,,,,,,,
8388 HK Equity,False,,2017-04-22,,,,,,,,,,,,,,,,,,,,,,
8388 HK Equity,False,,2017-04-23,,,,,,,,,,,,,,,,,,,,,,
8388 HK Equity,False,,2017-04-24,,,,,,,,,,,,,,,,,,,,,,
8388 HK Equity,False,,2017-04-25,,,,,,,,,,,,,,,,,,,,,,
8388 HK Equity,False,,2017-04-26,,,,,,,,,,,,,,,,,,,,,,
8388 HK Equity,False,,2017-04-27,,,,,,,,,,,,,,,,,,,,,,
8388 HK Equity,False,,2017-04-28,,,,,,,,,,,,,,,,,,,,,,
8388 HK Equity,False,,2017-04-29,,,,,,,,,,,,,,,,,,,,,,
8388 HK Equity,False,,2017-04-30,,,,,,,,,,,,,,,,,,,,,,
8388 HK Equity,False,,2017-05-01,,,,,,,,,,,,,,,,,,,,,,
8388 HK Equity,False,,2017-05-02,,,,,,,,,,,,,,,,,,,,,,
8388 HK Equity,False,,2017-05-03,,,,,,,,,,,,,,,,,,,,,,
8388 HK Equity,False,,2017-05-04,,,,,,,,,,,,,,,,,,,,,,
8388 HK Equity,False,,2017-05-05,,,,,,,,,,,,,,,,,,,,,,
8388 HK Equity,False,,2017-05-06,,,,,,,,,,,,,,,,,,,,,,
8388 HK Equity,False,,2017-05-07,,,,,,,,,,,,,,,,,,,,,,
8388 HK Equity,False,,2017-05-08,,,,,,,,,,,,,,,,,,,,,,
8388 HK Equity,False,,2017-05-09,,,,,,,,,,,,,,,,,,,,,,
8388 HK Equity,False,,2017-05-10,,,,,,,,,,,,,,,,,,,,,,
8388 HK Equity,False,,2017-05-11,,,,,,,,,,,,,,,,,,,,,,
8388 HK Equity,False,,2017-05-12,,,,,,,,,,,,,,,,,,,,,,
8388 HK Equity,False,,2017-05-13,,,,,,,,,,,,,,,,,,,,,,
8388 HK Equity,False,,2017-05-14,,,,,,,,,,,,,,,,,,,,,,
8388 HK Equity,False,,2017-05-15,,,,,,,,,,,,,,,,,,,,,,
8388 HK Equity,False,,2017-05-16,,,,,,,,,,,,,,,,,,,,,,
8388 HK Equity,False,,2017-05-17,,,,,,,,,,,,,,,,,,,,,,
8388 HK Equity,False,,2017-05-18,,,,,,,,,,,,,,,,,,,,,,
8388 HK Equity,False,,2017-05-19,,,,,,,,,,,,,,,,,,,,,,
8388 HK Equity,False,,2017-05-20,,,,,,,,,,,,,,,,,,,,,,
8388 HK Equity,False,,2017-05-21,,,,,,,,,,,,,,,,,,,,,,
8388 HK Equity,False,,2017-05-22,,,,,,,,,,,,,,,,,,,,,,
8388 HK Equity,False,,2017-05-23,,,,,,,,,,,,,,,,,,,,,,
8388 HK Equity,False,,2017-05-24,,,,,,,,,,,,,,,,,,,,,,
8388 HK Equity,False,,2017-05-25,,,,,,,,,,,,,,,,,,,,,,
8388 HK Equity,False,,2017-05-26,,,,,,,,,,,,,,,,,,,,,,
8388 HK Equity,False,,2017-05-27,,,,,,,,,,,,,,,,,,,,,,
8388 HK Equity,False,,2017-05-28,,,,,,,,,,,,,,,,,,,,,,
8388 HK Equity,False,,2017-05-29,,,,,,,,,,,,,,,,,,,,,,
8388 HK Equity,False,,2017-05-30,,,,,,,,,,,,,,,,,,,,,,
8388 HK Equity,False,,2017-05-31,,,,,,,,,,,,,,,,,,,,,,
8388 HK Equity,False,,2017-06-01,,,,,,,,,,,,,,,,,,,,,,
8388 HK Equity,False,,2017-06-02,,,,,,,,,,,,,,,,,,,,,,
8388 HK Equity,False,,2017-06-03,,,,,,,,,,,,,,,,,,,,,,
8388 HK Equity,False,,2017-06-04,,,,,,,,,,,,,,,,,,,,,,
8388 HK Equity,False,,2017-06-05,,,,,,,,,,,,,,,,,,,,,,
8388 HK Equity,False,,2017-06-06,,,,,,,,,,,,,,,,,,,,,,
8388 HK Equity,False,,2017-06-07,,,,,,,,,,,,,,,,,,,,,,
8388 HK Equity,False,,2017-06-08,,,,,,,,,,,,,,,,,,,,,,
8388 HK Equity,False,,2017-06-09,,,,,,,,,,,,,,,,,,,,,,
8388 HK Equity,False,,2017-06-10,,,,,,,,,,,,,,,,,,,,,,
8388 HK Equity,False,,2017-06-11,,,,,,,,,,,,,,,,,,,,,,
8388 HK Equity,False,,2017-06-12,,,,,,,,,,,,,,,,,,,,,,
8388 HK Equity,False,,2017-06-13,,,,,,,,,,,,,,,,,,,,,,
8388 HK Equity,False,,2017-06-14,,,,,,,,,,,,,,,,,,,,,,
8388 HK Equity,False,,2017-06-15,,,,,,,,,,,,,,,,,,,,,,
8388 HK Equity,False,,2017-06-16,,,,,,,,,,,,,,,,,,,,,,
8388 HK Equity,False,,2017-06-17,,,,,,,,,,,,,,,,,,,,,,
8388 HK Equity,False,,2017-06-18,,,,,,,,,,,,,,,,,,,,,,
8388 HK Equity,False,,2017-06-19,,,,,,,,,,,,,,,,,,,,,,
8388 HK Equity,False,,2017-06-20,,,,,,,,,,,,,,,,,,,,,,
8388 HK Equity,False,,2017-06-21,,,,,,,,,,,,,,,,,,,,,,
8388 HK Equity,False,,2017-06-22,,,,,,,,,,,,,,,,,,,,,,
8388 HK Equity,False,,2017-06-23,,,,,,,,,,,,,,,,,,,,,,
8388 HK Equity,False,,2017-06-24,,,,,,,,,,,,,,,,,,,,,,
8388 HK Equity,False,,2017-06-25,,,,,,,,,,,,,,,,,,,,,,
8388 HK Equity,False,,2017-06-26,,,,,,,,,,,,,,,,,,,,,,
8388 HK Equity,False,,2017-06-27,,,,,,,,,,,,,,,,,,,,,,
8388 HK Equity,False,,2017-06-28,,,,,,,,,,,,,,,,,,,,,,
8388 HK Equity,False,,2017-06-29,,,,,,,,,,,,,,,,,,,,,,
8388 HK Equity,False,,2017-06-30,,,,,,,,,,,,,,,,21.336,,,,,-3.004,
8388 HK Equity,False,,2017-07-01,,,,,,,,,,,,,,,,,,,,,,
8388 HK Equity,False,,2017-07-02,,,,,,,,,,,,,,,,,,,,,,
8388 HK Equity,False,,2017-07-03,,,,,,,,,,,,,,,,,,,,,,
8388 HK Equity,False,,2017-07-04,,,,,,,,,,,,,,,,,,,,,,
8388 HK Equity,False,,2017-07-05,,,,,,,,,,,,,,,,,,,,,,
8388 HK Equity,False,,2017-07-06,,,,,,,,,,,,,,,,,,,,,,
8388 HK Equity,False,,2017-07-07,,,,,,,,,,,,,,,,,,,,,,
8388 HK Equity,False,,2017-07-08,,,,,,,,,,,,,,,,,,,,,,
8388 HK Equity,False,,2017-07-09,,,,,,,,,,,,,,,,,,,,,,
8388 HK Equity,False,,2017-07-10,,,,,,,,,,,,,,,,,,,,,,
8388 HK Equity,False,,2017-07-11,,,,,,,,,,,,,,,,,,,,,,
8388 HK Equity,False,,2017-07-12,,,,,,,,,,,,,,,,,,,,,,
8388 HK Equity,False,,2017-07-13,,,,,,,,,,,,,,,,,,,,,,
8388 HK Equity,False,,2017-07-14,,,,,,,,,,,,,,,,,,,,,,
8388 HK Equity,False,,2017-07-15,,,,,,,,,,,,,,,,,,,,,,
8388 HK Equity,False,,2017-07-16,,,,,,,,,,,,,,,,,,,,,,
8388 HK Equity,False,,2017-07-17,,,,,,,,,,,,,,,,,,,,,,
8388 HK Equity,False,,2017-07-18,,,,,,,,,,,,,,,,,,,,,,
8388 HK Equity,False,,2017-07-19,,,,,,,,,,,,,,,,,,,,,,
8388 HK Equity,False,,2017-07-20,,,,,,,,,,,,,,,,,,,,,,
8388 HK Equity,False,,2017-07-21,,,,,,,,,,,,,,,,,,,,,,
8388 HK Equity,False,,2017-07-22,,,,,,,,,,,,,,,,,,,,,,
8388 HK Equity,False,,2017-07-23,,,,,,,,,,,,,,,,,,,,,,
8388 HK Equity,False,,2017-07-24,,,,,,,,,,,,,,,,,,,,,,
8388 HK Equity,False,,2017-07-25,,,,,,,,,,,,,,,,,,,,,,
8388 HK Equity,False,,2017-07-26,,,,,,,,,,,,,,,,,,,,,,
8388 HK Equity,False,,2017-07-27,,,,,,,,,,,,,,,,,,,,,,
8388 HK Equity,False,,2017-07-28,,,,,,,,,,,,,,,,,,,,,,
8388 HK Equity,False,,2017-07-29,,,,,,,,,,,,,,,,,,,,,,
8388 HK Equity,False,,2017-07-30,,,,,,,,,,,,,,,,,,,,,,
8388 HK Equity,False,,2017-07-31,,,,,,,,,,,,,,,,,,,,,,
8388 HK Equity,False,,2017-08-01,,,,,,,,,,,,,,,,,,,,,,
8388 HK Equity,False,,2017-08-02,,,,,,,,,,,,,,,,,,,,,,
8388 HK Equity,False,,2017-08-03,,,,,,,,,,,,,,,,,,,,,,
8388 HK Equity,False,,2017-08-04,,,,,,,,,,,,,,,,,,,,,,
8388 HK Equity,False,,2017-08-05,,,,,,,,,,,,,,,,,,,,,,
8388 HK Equity,False,,2017-08-06,,,,,,,,,,,,,,,,,,,,,,
8388 HK Equity,False,,2017-08-07,,,,,,,,,,,,,,,,,,,,,,
8388 HK Equity,False,,2017-08-08,,,,,,,,,,,,,,,,,,,,,,
8388 HK Equity,False,,2017-08-09,,,,,,,,,,,,,,,,,,,,,,
8388 HK Equity,False,,2017-08-10,,,,,,,,,,,,,,,,,,,,,,
8388 HK Equity,False,,2017-08-11,,,,,,,,,,,,,,,,,,,,,,
8388 HK Equity,False,,2017-08-12,,,,,,,,,,,,,,,,,,,,,,
8388 HK Equity,False,,2017-08-13,,,,,,,,,,,,,,,,,,,,,,
8388 HK Equity,False,,2017-08-14,,,,,,,,,,,,,,,,,,,,,,
8388 HK Equity,False,,2017-08-15,,,,,,,,,,,,,,,,,,,,,,
8388 HK Equity,False,,2017-08-16,,,,,,,,,,,,,,,,,,,,,,
8388 HK Equity,False,,2017-08-17,,,,,,,,,,,,,,,,,,,,,,
8388 HK Equity,False,,2017-08-18,,,,,,,,,,,,,,,,,,,,,,
8388 HK Equity,False,,2017-08-19,,,,,,,,,,,,,,,,,,,,,,
8388 HK Equity,False,,2017-08-20,,,,,,,,,,,,,,,,,,,,,,
8388 HK Equity,False,,2017-08-21,,,,,,,,,,,,,,,,,,,,,,
8388 HK Equity,False,,2017-08-22,,,,,,,,,,,,,,,,,,,,,,
8388 HK Equity,False,,2017-08-23,,,,,,,,,,,,,,,,,,,,,,
8388 HK Equity,False,,2017-08-24,,,,,,,,,,,,,,,,,,,,,,
8388 HK Equity,False,,2017-08-25,,,,,,,,,,,,,,,,,,,,,,
8388 HK Equity,False,,2017-08-26,,,,,,,,,,,,,,,,,,,,,,
8388 HK Equity,False,,2017-08-27,,,,,,,,,,,,,,,,,,,,,,
8388 HK Equity,False,,2017-08-28,,,,,,,,,,,,,,,,,,,,,,
8388 HK Equity,False,,2017-08-29,,,,,,,,,,,,,,,,,,,,,,
8388 HK Equity,False,,2017-08-30,,,,,,,,,,,,,,,,,,,,,,
8388 HK Equity,False,,2017-08-31,,,,,,,,,,,,,,,,,,,,,,
8388 HK Equity,False,,2017-09-01,,,,,,,,,,,,,,,,,,,,,,
8388 HK Equity,False,,2017-09-02,,,,,,,,,,,,,,,,,,,,,,
8388 HK Equity,False,,2017-09-03,,,,,,,,,,,,,,,,,,,,,,
8388 HK Equity,False,,2017-09-04,,,,,,,,,,,,,,,,,,,,,,
8388 HK Equity,False,,2017-09-05,,,,,,,,,,,,,,,,,,,,,,
8388 HK Equity,False,,2017-09-06,,,,,,,,,,,,,,,,,,,,,,
8388 HK Equity,False,,2017-09-07,,,,,,,,,,,,,,,,,,,,,,
8388 HK Equity,False,,2017-09-08,,,,,,,,,,,,,,,,,,,,,,
8388 HK Equity,False,,2017-09-09,,,,,,,,,,,,,,,,,,,,,,
8388 HK Equity,False,,2017-09-10,,,,,,,,,,,,,,,,,,,,,,
8388 HK Equity,False,,2017-09-11,,,,,,,,,,,,,,,,,,,,,,
8388 HK Equity,False,,2017-09-12,,,,,,,,,,,,,,,,,,,,,,
8388 HK Equity,False,,2017-09-13,,,,,,,,,,,,,,,,,,,,,,
8388 HK Equity,False,,2017-09-14,,,,,,,,,,,,,,,,,,,,,,
8388 HK Equity,False,,2017-09-15,,,,,,,,,,,,,,,,,,,,,,
8388 HK Equity,False,,2017-09-16,,,,,,,,,,,,,,,,,,,,,,
8388 HK Equity,False,,2017-09-17,,,,,,,,,,,,,,,,,,,,,,
8388 HK Equity,False,,2017-09-18,,,,,,,,,,,,,,,,,,,,,,
8388 HK Equity,False,,2017-09-19,,,,,,,,,,,,,,,,,,,,,,
8388 HK Equity,False,,2017-09-20,,,,,,,,,,,,,,,,,,,,,,
8388 HK Equity,False,,2017-09-21,,,,,,,,,,,,,,,,,,,,,,
8388 HK Equity,False,,2017-09-22,,,,,,,,,,,,,,,,,,,,,,
8388 HK Equity,False,,2017-09-23,,,,,,,,,,,,,,,,,,,,,,
8388 HK Equity,False,,2017-09-24,,,,,,,,,,,,,,,,,,,,,,
8388 HK Equity,False,,2017-09-25,,,,,,,,,,,,,,,,,,,,,,
8388 HK Equity,False,,2017-09-26,,,,,,,,,,,,,,,,,,,,,,
8388 HK Equity,False,,2017-09-27,,,,,,,,,,,,,,,,,,,,,,
8388 HK Equity,False,,2017-09-28,,,,,,,,,,,,,,,,,,,,,,
8388 HK Equity,False,,2017-09-29,,,,,,,,,,,,,,,,,,,,,,
8388 HK Equity,False,,2017-09-30,,,,,,,,,,,,,,,,,,,,,,
8388 HK Equity,False,,2017-10-01,,,,,,,,,,,,,,,,,,,,,,
8388 HK Equity,False,,2017-10-02,,,,,,,,,,,,,,,,,,,,,,
8388 HK Equity,False,,2017-10-03,,,,,,,,,,,,,,,,,,,,,,
8388 HK Equity,False,,2017-10-04,,,,,,,,,,,,,,,,,,,,,,
8388 HK Equity,False,,2017-10-05,,,,,,,,,,,,,,,,,,,,,,
8388 HK Equity,False,,2017-10-06,,,,,,,,,,,,,,,,,,,,,,
8388 HK Equity,False,,2017-10-07,,,,,,,,,,,,,,,,,,,,,,
8388 HK Equity,False,,2017-10-08,,,,,,,,,,,,,,,,,,,,,,
8388 HK Equity,False,,2017-10-09,,,,,,,,,,,,,,,,,,,,,,
8388 HK Equity,False,,2017-10-10,,,,,,,,,,,,,,,,,,,,,,
8388 HK Equity,False,,2017-10-11,,,,,,,,,,,,,,,,,,,,,,
8388 HK Equity,False,,2017-10-12,,,,,,,,,,,,,,,,,,,,,,
8388 HK Equity,False,,2017-10-13,,,,,,,,,,,,,,,,,,,,,,
8388 HK Equity,False,,2017-10-14,,,,,,,,,,,,,,,,,,,,,,
8388 HK Equity,False,,2017-10-15,,,,,,,,,,,,,,,,,,,,,,
8388 HK Equity,False,,2017-10-16,,,,,,,,,,,,,,,,,,,,,,
8388 HK Equity,False,,2017-10-17,,,,,,,,,,,,,,,,,,,,,,
8388 HK Equity,False,,2017-10-18,,,,,,,,,,,,,,,,,,,,,,
8388 HK Equity,False,,2017-10-19,,,,,,,,,,,,,,,,,,,,,,
8388 HK Equity,False,,2017-10-20,,,,,,,,,,,,,,,,,,,,,,
8388 HK Equity,False,,2017-10-21,,,,,,,,,,,,,,,,,,,,,,
8388 HK Equity,False,,2017-10-22,,,,,,,,,,,,,,,,,,,,,,
8388 HK Equity,False,,2017-10-23,,,,,,,,,,,,,,,,,,,,,,
8388 HK Equity,False,,2017-10-24,,,,,,,,,,,,,,,,,,,,,,
8388 HK Equity,False,,2017-10-25,,,,,,,,,,,,,,,,,,,,,,
8388 HK Equity,False,,2017-10-26,,,,,,,,,,,,,,,,,,,,,,
8388 HK Equity,False,,2017-10-27,,,,,,,,,,,,,,,,,,,,,,
8388 HK Equity,False,,2017-10-28,,,,,,,,,,,,,,,,,,,,,,
8388 HK Equity,False,,2017-10-29,,,,,,,,,,,,,,,,,,,,,,
8388 HK Equity,False,,2017-10-30,,,,,,,,,,,,,,,,,,,,,,
8388 HK Equity,False,,2017-10-31,,,,,,,,,,,,,,,,,,,,,,
8388 HK Equity,False,,2017-11-01,,,,,,,,,,,,,,,,,,,,,,
8388 HK Equity,False,,2017-11-02,,,,,,,,,,,,,,,,,,,,,,
8388 HK Equity,False,,2017-11-03,,,,,,,,,,,,,,,,,,,,,,
8388 HK Equity,False,,2017-11-04,,,,,,,,,,,,,,,,,,,,,,
8388 HK Equity,False,,2017-11-05,,,,,,,,,,,,,,,,,,,,,,
8388 HK Equity,False,,2017-11-06,,,,,,,,,,,,,,,,,,,,,,
8388 HK Equity,False,,2017-11-07,,,,,,,,,,,,,,,,,,,,,,
8388 HK Equity,False,,2017-11-08,,,,,,,,,,,,,,,,,,,,,,
8388 HK Equity,False,,2017-11-09,,,,,,,,,,,,,,,,,,,,,,
8388 HK Equity,False,,2017-11-10,,,,,,,,,,,,,,,,,,,,,,
8388 HK Equity,False,,2017-11-11,,,,,,,,,,,,,,,,,,,,,,
8388 HK Equity,False,,2017-11-12,,,,,,,,,,,,,,,,,,,,,,
8388 HK Equity,False,,2017-11-13,,,,,,,,,,,,,,,,,,,,,,
8388 HK Equity,False,,2017-11-14,,,,,,,,,,,,,,,,,,,,,,
8388 HK Equity,False,,2017-11-15,,,,,,,,,,,,,,,,,,,,,,
8388 HK Equity,False,,2017-11-16,,,,,,,,,,,,,,,,,,,,,,
8388 HK Equity,False,,2017-11-17,,,,,,,,,,,,,,,,,,,,,,
8388 HK Equity,False,,2017-11-18,,,,,,,,,,,,,,,,,,,,,,
8388 HK Equity,False,,2017-11-19,,,,,,,,,,,,,,,,,,,,,,
8388 HK Equity,False,,2017-11-20,,,,,,,,,,,,,,,,,,,,,,
